策划案编号,标题,题材,主线,人设,钩子,投流,主线评估结论,人设评估结论,钩子评估结论,投流评估结论
47,,,"故事起因：从小就是孤儿的女主被男二家里接走给男二作伴，前几年女主被男二和男二母亲宠爱，没过多久女二出现，男二变心维护女二，在这时女主的亲生父亲找来，女主回富豪家当千金，并和大佬男主结婚，打脸男二女二，和男主先婚后爱。
主角主要目的：女主看清男二渣男本性，清醒回头，决定离开男二家；男主对女主一见钟情，和女主结婚，给自己一年时间让女主努力爱上自己，否则就放女主自由
经历阻碍事件：
1-男二和女二对女主的针对和陷害
2-女主对男主的喜欢不知情，误以为自己是替身
3-和废柴弟弟争夺家族公司和家产","男主：大佬总裁，对女主一见钟情
女主：因为被男二母亲宠着，想打就打不忍的性格，看清男二本性清醒得很快，不相信男人后面被男主感动爱上男主
男二：死渣男，发现女主真的喜欢男主后又后悔
女二：男二家保姆的女儿，想要嫁给男二上位",卡在女主被男二女二狂虐受伤，男主在这时候出现救走女主。,"吸睛事件：
素材1：男二家宴会，男二和女二一起奚落女主，要赶走女主，女主不客气回击
素材2：富豪在宴会上公开女主的千金身份，震惊女二男二
素材3：女主误以为男主有白月光，自己还是替身，很生气找男主摊牌",通过,通过,通过,通过
48,,,"故事起因：男主受重伤需要输血，女主给男主输血后被母亲叫回去，女二冒领女主输血功劳。女二给男主下药，差点被发现就把罪名推给女主，女主和中药后的男主上床，男主误以为女主心机，厌恶女主，但被家里逼迫和女主结婚。
主角主要目的：女主逐渐对男主失望心灰意冷要跟男主离婚，之后让男主后悔打脸男主
经历阻碍事件：
1-女二冒领女主给男主献血的功劳，女主因为献血患上致死的重度贫血症
2-女二陷害导致男主以为女主心机给自己下药
3-女主母亲不喜欢女主喜欢女二，帮助女二刁难女主","男主：总裁，很早就对女主有好感，因为女二的污蔑误会女主认为女主是心机女
女主：原本喜欢男主，但被男主的冷漠态度伤到想要离婚。
男二：身份尊贵，一直在找小时候救了自己的女孩儿（就是女主）
女二：心机女，实际上是女主同母异父的姐姐，根本不是富家千金，跟女主和男主的血型也不一样",卡点卡在男主即将知道女主才是当年给自己献血的人，追妻火葬场,"吸睛事件：
素材1：男主受重伤，女主给男主献血，男主醒来后看到的却是假装虚弱的女二
素材2：女配在男主面前装可怜，男主维护女配，把贫血的女主打倒在地，男主带女配走后，女主晕倒
素材3：女主被男主和心机女虐得很惨，男二出现英雄救美带走女主",不通过,通过,通过,通过
49,,,"故事起因：女主和男主结婚后，为了备孕暂时将公司交给男主打理。男主的新助理却以为女主是普通家庭主妇，觉得女主配不上男主，想趁机上位。刚好女主怀孕，来公司给男主报喜，因为长相打扮出众，被助理误认为是小三。于是，助理拿着鸡毛当令箭，瞒着男主逼女主打胎，女主不从，就折磨女主，活活打掉女主肚子里的孩子。之后男女主各自想办法报复助理，犹豫信息不互通，引发了信任危机，但最终助理遭到报复，男女主解开误会，和好如初。
主角主要目的：女主替孩子报仇，怀疑这一切都是男主的意思，调查男主是不是背叛了自己。
经历阻碍事件：
1-女主无法自证身份，被迫受尽屈辱。
2-女主失去孩子，对男主失去信任。","男主：总裁，宠妻护妻
女主：为了备孕暂别工作
女二：想要小三上位的助理",女配用棒球棍打女主肚子，男主拉开会议室大门,"吸睛事件：
素材1：女主被当做小三，无法自证
素材2：女配用高跟鞋踩女主肚子，害女主流产
素材3：女主调查男主，听到男主和女配调情",不通过,通过,通过,通过
50,,,"故事起因：女主的父母为救男主和男配一家去世，男主家因为忙着处理公司的问题，慢了一步找女主报恩，因此女主被男配母亲收养，和男二男三一起长大，还约定长大后嫁给其中一个。三人感情甚笃，但后来男配家出事，女主被保姆的女儿诬陷，遭到全家人的误会，从此受尽委屈。男主母亲得知女主近况，撮合女主嫁给原本就喜欢女主的男主，女主对男配一家心灰意冷，和男主闪婚。之后男配一家得知了女配的真面目，统统火葬场，来到女主婚礼上祈求女主原谅，回到自己身边，但为时已晚，女主拒绝，从此和男主一家幸福生活。
主角主要目的：远离男配一家，洗清冤屈，收获幸福。
经历阻碍事件：
1-女主被女配陷害，不仅差点没命，还被家法处置。
2-女主男主婚礼上，男配一家火葬场，求女主原谅，争先恐后替女主挡刀。","男主：总裁，暗恋女主，宠妻
女主：父母双亡的普通女孩
男二：豪门长子，喜欢女主，但被女配蒙蔽
男三：豪门次子，喜欢女主，但被女配蒙蔽
女二：想挤走女主上位的保姆女儿",女主心灰意冷，决定离开男配家，单方面取消自己和男配家的婚约，还告诉众人自己要结婚了，邀请众人来参加婚礼。,"吸睛事件：
素材1：男配家出事，女配偷东西被女主发现，却反遭冤枉，被男配全家误会
素材2：女主和女配地位对调（小姐变佣人，佣人成小姐）
素材3：女主婚礼上，男配全家火葬场",通过,通过,不通过,通过
51,,,"故事起因：女主总裁夫人，男主总裁，女主妹实习被打成植物人，女主决定亲自潜入公司调查真相，面对势利眼同事的为难女主霸气反击，最终找出真相打脸众人
主角主要目的：女主替妹复仇
经历阻碍事件：
1-同事欺负女主
2-女配试图倒贴男主
3-女配想把女主赶出年会现场","男主：公司总裁，女主老公
女主： 总裁夫人，女强人
女二：倒贴男主，欺凌女主妹的女同事",女配想把女主赶走，男主赶到,"吸睛事件：
素材1：众保镖对打扮朴素的女主喊夫人
素材2：女主入职被同事看不起
素材3：年会现场，女配试图倒贴男主并把女主赶走",不通过,通过,通过,通过
52,,,"故事起因：女主替丈夫顶罪入狱，因救助男主获得减刑，女主提前出狱，却发现丈夫早已出轨，儿子被小三害死。女主为查清真相并复仇，在男主的帮助下化身总裁夫人，展开打脸复仇
主角主要目的：女主查清儿子被害真相，向丈夫复仇
经历阻碍事件：
1-女主提前出狱，回家却目睹丈夫活春宫
2-女主找儿子却只看到骨灰盒
3-小三交代监狱苛待女主","男主：商业大佬，公司总裁
女主： 恋爱脑囚犯，后化身总裁夫人
男二：女主前任老公，渣男
女二：女主老公出轨对象",女主化身总裁夫人登场渣男宴会,"吸睛事件：
素材1：女主目睹渣男女配活春宫
素材2：女主收到儿子骨灰盒，得知儿子被女配欺凌致死
素材3：女主化身总裁夫人登场",通过,通过,通过,通过
53,,,"故事起因：女主被相恋八年的未婚夫和家里收养的养女女配带去郊外庆祝生日，下大暴雨，男配女配陷害女主摔下山崖，女主腿部受伤，周围人际荒凉，女主努力自救。另一边女主父亲得知女主坠崖生死未卜吓得晕过去，渣男和女配演戏想要抢夺女主家族继承人的身份，关键时刻，女主回归，反击男配女配
主要目的：
经历阻碍事件：
1-女主腿受伤，在荒凉的悬崖下努力自救，靠损坏车子里的仅有物资活命
2-渣男和女配企图抢走女主继承人的身份，抢走女主家公司
3-女主父亲深陷女主死亡的痛苦，不顾男主劝阻，要把继承人的位置给女配","男主：女主事业上的助手，坚信女主一定还活着
女主：家族企业的唯一继承人
男二：是女主相恋八年的未婚夫，虚伪渣男，早就出轨女配
女二：女主家好心收养的孤女，假意对女主好，企图霸占女主继承人的身份",卡点卡在女主努力走出荒凉的丛林，惊喜看到前面有人呼救（实际上是要钱威胁女主的坏人）,"吸睛事件：
素材1：女主喝下迷药后昏沉醒来，就发现自己坐在急速行驶的车子上，车子故障根本停不下来，她在惊恐之下和车子一起摔下山崖
素材2：渣男和女配陷害完女主笃定女主死透了，回来开记者会卖惨
素材3：女主腿部受伤，身体虚弱，她拼命呼喊渣男女配，后来逐渐意识到是他们陷害自己，痛苦不甘",通过,通过,不通过,通过
54,,,"故事起因：女主为给得癌症的母亲凑够手术费，答应男主奶奶的要求，嫁给弱精症男主为男主家怀上继承人。得癌症的母亲去世后，女主发现自己怀孕，想要生下肚子里的孩子独自抚养。八个月过去，女主好赌的父亲把女主的钱卷走，女主只好挺着肚子出去打工，这时，恶毒男配女配出现陷害女主，苏醒后的男主挺身而出救了女主。
主角主要目的：女主想要生下肚子里唯一的亲人；男主喜欢上怀孕的女主，还想让女主和她老公离婚。
经历阻碍事件：
1-男女主互相不知道对方的身份
2-女主需要挺着大肚子赚取收入
3-恶毒男配和女配对女主的针对和陷害","男主：大佬总裁，有弱精症，一直以来从心理上抗拒女人的靠近
女主：傻白甜女主
男二：对女主告白被拒绝后破防的渣男男配
女二：女主大学同学，上位不成怨恨女主的恶毒女配",卡在女主遭遇配角陷害，无助之下不得已要打给孩子爸爸求助，外边男主的手机响了起来,"吸睛事件：
素材1：女主需要给母亲凑齐医药费，男主奶奶出现，要女主给弱精症男主生下继承人，女主忍受屈辱答应
素材2：男主被美女环绕，却偏偏被清新脱俗的女主吸引
素材3：众人都以为女主肚子里孩子的爸爸是个穷小子，实际上是男主，真相大白打脸",不通过,通过,通过,通过
55,,,"故事起因：女主单方面向男主提出离婚，签下离婚协议，恢复千金身份，回到医院救死扶伤。男配为了救患病的女配，找到身为国际名医的女主，让女主替女配做手术，结果女主的病人和女配恰好在等同一个肾源（女主的病人优先），女配想先做手术，让男主帮自己抢肾源，女主作为主治医生，为病人捍卫权益，坚决不肯退让。在这个过程中，男主逐渐对女主动心，女配率先发现女主的身份，屡次冤枉女主，还说女主是因为嫉妒自己和男主的关系，才不肯给自己手术，不肯把肾源让给自己。男主信了女配的话，一方面心疼女配的遭遇，一方面又暗爽女主为了自己吃醋，直到看到女主被众多优秀男人纠缠，男主才感受到危机，开始追妻火葬场。
主角主要目的：女主离婚后发展事业，男主爱上女主，追妻火葬场。
经历阻碍事件：
1-女主被女配诬陷，男主眼盲心瞎，相信女配。
2-女主要离婚，离婚协议书被男主撕掉。
3-女主被女配找人抓走，打算轮奸拍视频。","男主：总裁，不喜欢爷爷强行给自己安排的妻子（女主），却对成为医生的女主动心。对女配有愧疚感，所以处处照顾她偏袒她，前期气人担当
女主：隐瞒身份嫁给男主的富家千金，冷静果断
男二：女主没有血缘关系的哥哥
女二：男主的救命恩人，一直想上位",女主为了保住病人的肾源，去找男主爷爷，却被告知男主已经到楼下了，即将与男主碰面。女主很紧张，怕男主误会自己是因为妒忌才要和女配抢肾源。卡点在男主开门的瞬间。,"吸睛事件：
素材1：女主离婚，并拒绝男主给的赔偿，摇身一变成为知名医生
素材2：男主得知女主身份，撕毁离婚协议书，女主一怒之下离开，男主追出去，两人被困在电梯里，女主幽闭恐惧症发作，被男主护在怀里
素材3：女主被绑架，男主英雄救美，受了重伤",不通过,通过,不通过,通过
56,,,"故事起因：学生时代的女主在会所兼职时，意外和被下了药的男主一夜情，生下儿子。六年后，女主进入男主的公司工作，又一次与被下药的男主发生关系，事后男主表示要对女主负责，女主坦白自己单亲妈妈的身份，拒绝男主负责的想法，男主反而因此对女主产生好感。两人经历各种事后相爱，男主带女主和儿子回家见父亲，最终发现女主的儿子就是自己的儿子，一家人相亲相爱。
主角主要目的：女主意外产子，独自带大儿子，和男主重逢，相恋。
经历阻碍事件：
1-女主和男主一夜情后，男主要负责，女主坦白自己是单亲妈妈。
2-女主儿子生病，男主让女主带儿子来公司上班，结果被女配误会，女主想借儿子跟男主攀关系上位，趁女主工作时谋害女主儿子。
3-女主儿子被女配害进医院，情况危急，女主为了儿子去找正在给男主父亲看病的院长，却被女配阻拦。","男主：总裁，鉴婊达人
女主：单亲妈妈，走失的真千金
女二：豪门养女，喜欢男主，想上位",女主儿子被女配为了会导致过敏的草莓，又被锁进储物间，危急关头，男主出现，一脚踹开门。,"吸睛事件：
素材1：男女主一夜情后，男主要负责，女主坦白自己是单亲妈妈
素材2：女主儿子被女配喂了会导致过敏的草莓，又被锁进储物间，危急关头，男主出现，一脚踹开门
素材3：女主儿子被女配害进医院，情况危急，女主为了儿子去找正在给男主父亲看病的院长，却被女配叫人赶走",通过,通过,通过,通过
57,,,"故事起因：女主因为无法忍受丈夫男主的控制而假装出车祸落水失踪，逃离后遇到男二，男二得知女主的遭遇，决意帮女主，带女主去整容换脸。男主苦寻妻子，发现了换脸后的女主，感觉熟悉，怀疑女主身份，一直在试图把女主抓回去
主角主要目的：女主：摆脱男主 男主：找到女主 男二：帮女主摆脱男主
经历阻碍事件：
1.女主数次险些被男主发现（平替其他事件）
2.男二找了具尸体冒充女主，被男主识破，把女主强行抓回去，女主逃跑，失败
3.女主找出男主的违法证据，告发男主，男主被警方带走，结果没两天就放出来了，又来找女主
4.女配嫉妒女主，雇凶杀女主，男主救了女主，自己牺牲","男主：女主丈夫，病娇疯批黑手党教父，很爱女主，占有欲和控制欲非常强
女主：男主妻子，爱过男主，但无法再忍受婚后男主的控制，一直试图摆脱男主
男二：总裁，女主的旧识，暗恋女主",男二带换脸后的女主去购物，男主也来了，看到女主,"吸睛事件：
素材1：男主对女主的高压恐怖控制
素材2：女主假装出车祸落水失踪，被男二所救，男二为女主整容换脸，女主以男二妻子的身份留在男二身边
素材3：男主差点发现女主身份",不通过,通过,通过,不通过
58,,,"故事起因：男主出身豪门，却意外和女主相识相爱，但因为不相信爱情，隐瞒身份还装病试探女主，但女主并没有因此离开男主，反而努力打工给男主筹手术费，甚至还为了钱，给同样是豪门出身的女配捐肝，结果在会所做兼职时，意外得知男主根本没病，而自己捐肝的女配是男主的青梅竹马，家里还打算让两人结婚。女主心灰意冷，和男主分手，却被男主缠上，因此几次三番被女配陷害羞辱，差点送命。男主得知女主为自己所做的一切后，追悔莫及，开始追妻火葬场。
主角主要目的：女主为男主筹手术费，得知男主骗自己，毅然分手，重新生活。男主追妻。
经历阻碍事件：
1-男主装病，女配故意说要替他试探一下女主，以此为借口当街羞辱女主，并拍下视频。
2-女主在会所得知事情的全部真相，男主没认出女主，但女配认出了女主，因此故意羞辱，并且说了很多让女主误会男主的话。
3-男主迫于家里压力，和女配订婚，女配故意将女主骗来现场，污蔑女主企图破坏订婚宴，令两家长辈厌恶女主，还派人把女主打进医院。","男主：总裁，不相信爱情，总是想要试探女主的真心
女主：普通女孩，真爱至上，付出型人格
男二：女主青梅竹马，喜欢女主，医生
女二：男主青梅竹马，喜欢男主，总是借“妹妹”的身份立场，说服男主同意自己以测试为名羞辱女主",女主在会所得知真相，还被女配认了出来，女配故意不让男主看到女主的脸，让众人羞辱女主，女主却以为男主也认出了自己，是故意让女配和众人折磨自己，最终女主不堪受辱，质问男主这样对待自己有意思吗？,"吸睛事件：
素材1：女主在酒吧得知全部真相，被女配认出来，故意当着男主的面羞辱
素材2：女配把女主骗到订婚宴上，让所有人误会女主是男主小三，来搞破坏，把女主打进医院
素材3：女主向男主坦白一切，男主知道女主为自己的付出，以及女主被羞辱的事情，追悔莫及",通过,不通过,不通过,通过
59,,,"故事起因：女主意外丧夫后，却在葬礼上得知自己的老公竟是首富家的大公子。之后女主怀着孩子被婆婆接回家，先是被小叔误会，但很快误会解决，小叔被女主坚韧的性格感染，逐渐对女主动心，但女主碍于双方的叔嫂关系，一直很克制自己的感情，不过经历几次危机之后，女主决定放下过去，正视自己的内心，在婆婆的支持下，和小叔结为连理，组建新的家庭。
主角主要目的：女主丧夫后，被婆婆接回夫家，和小叔产生感情。
经历阻碍事件：
1-女主在丈夫的葬礼被家里人逼着打胎。
2-女主在宴会上差点被女配害流产。
3-女主被女配和弟弟联手绑架。","男主：总裁，女主小叔，被女主吸引后，冷脸追妻
女主：寡妇，男主嫂嫂，怀着旺夫的孩子，自强不息
女二：女主婆婆，宠爱女主，撮合男女主
男二：女主弟弟，唯利是图，想要榨干女主的全部价值",家里人把女主卖给老光棍，老光棍不想给别人养孩子，女主疯狂反抗，逃跑，被弟弟抓回来，就地打胎。卡点在男主带着保镖，开着豪车来救女主。,"吸睛事件：
素材1：男主陪女主做产检，被误会是女主老公，还被医生要求两人亲密接触
素材2：女主在宴会上因为穿着普通，被女配误会身份，陷害羞辱
素材3：女主在丈夫的葬礼上被家里人逼着打胎，婆婆登场救人",通过,通过,通过,通过
60,,,"故事起因：女主为了拿到奶奶的医疗费，答应女配家的要求，替女配嫁给双腿残疾的男主，见到男主的第一眼就对男主一见钟情，在心里默默喜欢男主。女配早期间接害死了男主母亲，男主因此厌恶替女配嫁过来的女主，以为女主就是女配，对女主态度很差，恨不得杀了女主。
主角主要目的：女主对男主一见钟情，想要保护他对他好；男主要应对虚伪家里人的针对
经历阻碍事件：
1-男主误会女主就是当年间接害死自己母亲的女配，对女主态度很差
2-女主为了奶奶的医药费不得不听从女二和男二的一些命令，更被男主误会
3-","男主：原本是家族继承人，因为一场车祸双腿残疾被家里放弃，实际上掌握神秘大集团的权力
女主：和奶奶相依为命，为了医药费替女配嫁给男主，因为医药费，也不能够跟男主解释
男二：和男主争夺家产的继弟
女二：原本想嫁给男二成为总裁夫人，后来发现男主真实身份，又想勾引男主",卡在男主即将知道女主并不是间接害死自己母亲的女配，后悔自己曾经那么欺负女主,"吸睛事件：
素材1：男主因为腿部残疾被人羞辱欺负，女主出现保护男主，赶走那些纨绔
素材2：女配家反悔不给女主医药费，女主和女主奶奶被医院医生护士驱赶，关键时刻男主前来帮助女主
素材3：女配发现男主真实身份不一般，想要陷害女主，自己重新嫁给男主",不通过,通过,通过,通过
61,,,"故事起因：女主女配被女配父亲掉包之后，又被小时候的男主调换回来。二十年后，女主和男二即将订婚，女配找上女主家，提出和女主父母亲子鉴定，造假结果，顶替女主真千金身份，女主父母和男二相信女配，男二也要跟女主退婚和女配在一起。
主角主要目的：女主被假千金女配陷害，努力自证清白
经历阻碍事件：
1-能证明女主身份的男主还在国外
2-女配弄出的亲子鉴定是假的，女主父母相信之后就不会再做和女主的鉴定
3-女配多次诬陷女主，所有人都相信女配不相信女主","男主：女主父亲朋友的儿子，小时候将女主和女配调换回来，后来出国，归国成大佬总裁
女主：真千金 
男二：豪门公子，只想和真千金联姻，后来意识到女主才是真千金又后悔
女二：心机恶毒女配，假千金",卡在男主回国发现女主被赶出家门，找上女主家，告诉女主父母当年真相,"吸睛事件：
素材1：二十年前，女主母亲和女配母亲同时生下女儿，女配父亲心生歹念，偷偷调换女主女配，五岁男主看到，又换了回来（跟对标剧的病房调换做区别，可以是婴儿室或者其他地方。）
素材2：女主父母和男二都相信造假的亲子鉴定，虐打女主，把女主打得遍体鳞伤（重点放在男二对女主的欺辱）
素材3：女主被赶出家门，男主回国后得知消息，着急赶到女主家要告知女主父母真相",不通过,通过,通过,通过
62,,,"故事起因：女主父母曾经救过男主，女主父母双亡后，男主领养女主。两人爱上彼此，女主勇敢表白，但男主碍于道德伦理不接受女主，甚至找来女配联姻，来断了女主的念头。女主心灰意冷，没想到遇到男主被下药，两人发生关系，女主怀孕，男主却不记得。女主想离开男主，独自抚养孩子，没想到出现意外，暂时不能离开……
主角主要目的：女主：深爱男主，但知道男主有未婚妻后，还是选择离开不再纠缠；男主喜欢女主，但嘴硬不说，不愿意让女主离开，想把女主捆绑在身边
经历阻碍事件：
1-女主想把自己亲手做自己跟男主的亲密雕像送给男主，撞见男主和女配亲热
2-男主跟女主发生关系却忘记，女主怀孕想告诉男主，一直被打断
3-男主纵容女配污蔑女主，断送女主的职业生涯
4-男主误会女主的孩子是别人的，女主被害流产","男主：35岁，女主的领养人，名义上的养父，但女主叫他叔叔。喜欢女主但嘴硬不承认故意找人联姻，断女主的念想，但自己又舍不得放女主走
女主：20岁，雕塑系天才，父母双亡，因为男主过分溺爱，前期天真烂漫，和男主有很多亲密行为，喜欢男主勇敢表白，后期知道男主有未婚妻后，断了念想，想要逃离，懦弱又为了孩子坚强
女二：30岁，男主的未婚妻，害怕男主真的会跟女主一起，一直针对女主，陷害女主
男二：25岁，喜欢女主，暖心男二",男主和女主发生关系,"吸睛事件：
素材1：女主想送男主雕塑做礼物，亲眼看到男主和女配亲热，丢下雕塑离开
素材2：女主的雕塑展，雕塑被女配偷偷换成女主做的跟男主的双人雕像，女主被嘲讽妄想跟养父在一起不要脸，男主也觉得女主的行为越线了生气，责备女主，要女主以后不准再做雕塑，女主解释，被男主推开，女主摔倒雕塑被打碎
素材3：男主在女配家喝醉，回家想找女主道歉，药效发作，和女主发生关系",通过,不通过,通过,通过
63,,,"故事起因：女主父亲为了回家给女主过生日，车速过快发生车祸，撞死了很多人，男主的母亲因为生病在救护车上，治疗延误抢救无效死亡。女主觉得是自己的问题，不敢再跟男主交往，用嫌弃男主没钱为借口跟男主断崖式分手。之后一直在默默赚钱，补偿那些无辜的家庭。男主不甘心被女主抛弃，寻找女主多年，再次在一场聚会上相遇，男主看到女主跟不同的人逢场作戏，误会女主……
主角主要目的：女主：不敢跟男主在一起，一心只想赚钱补偿那些受害者家庭；男主：深爱女主，但是又不甘心做舔狗，却又忍不住关心女主
经历阻碍事件：
1-女主因为自己的父亲害死男主的母亲，内疚，跟男主分手
2-男主多次看到女主为了钱，跟多个男人虚与委蛇，误会女主拜金，拿钱羞辱女主
3-两人即将破镜重圆，女主发现自己得了重病，不想拖累男主，气走男主后，晕倒","男主：（何以琛性格）总裁，唯爱女主，面冷心热，表面对女主毒舌，实际上一直在关心女主
女主：（赵默笙性格）律师，前期追求男主热情奔放，后期因为愧疚不敢面对男主，在别人面前落落大方，在男主面前唯唯诺诺",男主将女主和自己关在一个房间里，质问女主为什么离开自己,"吸睛事件：
素材1：男主故意将女主和自己锁在一个空间里，女主害怕求助，男主逼问离开自己的原因
素材2：女配故意带着男主亲戚家熊孩子欺负女主，倒打一耙跟男主告状，男主修理熊孩子和女配，跟女主邀功
素材3：女主发现自己得了重病，男主想跟女主求婚，女主不想拖累男主，拒绝男主后晕倒",通过,不通过,通过,通过
64,,,"故事起因：女主一家参加宴会，渣男发现猥琐男多看了女主两眼，便想把女主送给猥琐男，顺便PUA女主，被男主听到。女主在酒店房间内，男主告知女主真相，女主不相信恐慌下打伤男主逃离，无意间发现后妈出轨渣男，恼怒，想要揭穿二人的阴谋。男主得知女主被后妈算计，想去看好戏，但还是间接性帮助了女主，女主知道了男主的身份，想跟男主合作。两人一拍即合成为地下情人……两人联手智斗渣男和后妈，女主渐渐成长，转而守护男主
主角主要目的：女主：报复后妈和渣男，成长搞事业，跟男主相互救赎；男主：保护女主，爱上女主
经历阻碍事件：
1-女主告诉父亲后妈的阴谋，后妈诡辩，父亲不相信女主
2-男主被仇家追杀，女主被绑架
3-男主为了保护女主重伤，不愿见女主，跟女主提分手","男主：表面总裁，隐藏身份是黑帮继承人，凭欲望做事，不懂爱，馋女主身体，又觉得女主有趣，多次出手帮助女主
女主：集团继承人，误信渣男和后妈，得知真相后清醒，利用男主来报复渣男和后妈，守护公司搞事业
女二：女主后妈，蛇蝎美人，和女主前任勾结，企图夺走女主家的公司，巧言令色哄骗女主父亲
男二：女主前任，恶毒又无脑，每次设计女主都不成功，反被打脸",女主被渣男追赶，男主出场,"吸睛事件：
素材1：女主被渣男送人，险些被侵犯，打伤了男主逃离
素材2：女主告诉父亲跟渣男分手，继母恼怒想加快进度
素材3：渣男想侵犯女主，女主逃离，被渣男追赶，男主出场",不通过,通过,通过,通过
65,,,"故事起因：女主意外发现丈夫出轨自己的闺蜜，争执之下手受伤，渣男用女主的母亲威胁女主净身出户，女主失去一切，不能再做手术。女主得知男主家正在招家庭医生，去应聘，误入男主选妻现场，被当做妻子候选人被选中，跟男主签订契约。因为信息差，两人闹了很多乌龙，加上反派的助攻，渐渐喜欢上彼此
主角主要目的：女主：赚钱给母亲更好的条件；男主：用和女主的契约婚姻来安抚母亲
经历阻碍事件：
1、事件平替，女主被渣男和小三羞辱，男主救场
2、女主对男主产生感情，知道男主已婚，误以为男主是渣男要辞职
3、女主被陷害，被怀疑要伤害男主的母亲","男主：霸总，解决问题干脆利落不喜麻烦，选妻过程中看中女主的简单，契约结婚，即使误会女主拜金，但还是对女主很负责，给钱给礼物干脆利落，替女主出头
女主：外科医生，受伤离婚后，因为信息差自以为成为男主家的家庭医生，对工作尽职尽责，不理解男主的奇怪的言论，但尊重
女二：男二的小三，女主的闺蜜，抢走男二后，故意让女主受伤不能上手术台，频繁搞事
男二：女主的渣男前夫，看到女主的手受伤后，觉得无利可图，无下限欺辱女主",女主被前夫和小三羞辱，男主出场,"吸睛事件：
素材1：女主捉奸丈夫和闺蜜，争执之下受伤离婚
素材2：女主应聘男主家的家庭医生，男主以为是闪婚，两人鸡同鸭讲签协议
素材3：女主被渣男和小三羞辱，男主救场",不通过,通过,通过,不通过
66,,,"故事起因：女主发现渣男出轨暴打渣男后分手，被渣男纠缠，女主遇到男主，向男主求助，逃脱困境，跟男主道谢后离开，却被男主盯上。女配为了赶走女主，陷害女主，男主出手相助，两人在你来我往中渐渐爱上彼此走到一起
主角主要目的：男主：喜欢女主保护女主，让女主找回失去的记忆；女主：摆脱渣男搞事业
经历阻碍事件：
1、女主被陷害，丢掉工作
2、女主险些被渣男侵犯
3、女主在参加庆功宴路上，出车祸","男主：霸总，喜欢女主十年的恋爱脑，找了女主多年，得知女主失忆后，想让女主爱上自己，尊重女主
女主：男二公司的珠宝设计师，因为车祸失忆过，性格直率，有仇当场报
女二：渣男的小三，女主珠宝的代言人，挑衅伤害女主
男二：富二代，花花公子，下半身思考的人，在女主失忆后哄骗女主自己是她男友，想跟女主发生关系，但没得逞",女主差点被渣男侵犯，男主出场,"吸睛事件：
素材1：女主开车参加庆功宴，车子失控，被男主截停，女主重伤昏迷
素材2：女配在医院刺杀女主，被男女主抓包",通过,通过,通过,通过
67,,,"故事起因：前世女主错信渣男前任，被掠夺家产最终身败名裂惨死街头，男主替女主报仇后殉情。重生后，女主回到跟渣男结婚前，得知渣男调换了自己跟他的身份，女主认清渣男嘴脸，选择跟男主携手共进，通过重生获得的信息差努力将属于自己的一切抢回来，故意折磨渣男，让渣男体会到钱色健康皆空的痛苦。
主角主要目的：报复渣男和小三，弥补前世错过男主的遗憾
经历阻碍事件：
1-平替，渣男邀请员工们来家里开party，女主被当佣人指使，女主表明身份，但管家站在渣男那边，女主被嘲讽
2-女主去应酬，被下药
3-女主利用重生的信息差，马甲名声大噪，被女配冒领","男主：女主的未婚夫，一直深爱女主的顶级财团继承人，又大胆又怂
女主：前世：被娇养长大的大小姐，被渣男PUA的顶级恋爱脑，惨死街头；重生后：想报复渣男和小三，虽然不懂管理公司，但一直在努力学习，并且会利用重生前的信息差来抓住机遇，掌握主动权，戏耍渣男和小三
女二：男二养的菟丝花，心狠手辣的绿茶
男二：女主家管家的儿子，PUA女主获得集团总经理的职位，假装集团继承人，谎话精",渣男假继承人身份差点被揭穿,"吸睛事件：
素材1：女主被渣男和小三害得惨死街头，男主出场杀了渣男的小三后，抱着女主殉情，女主后悔自己错过男主错信小人，希望能再来一次机会
素材2：女主在自己的别墅醒来，被渣男邀请同事来家里开party，指使女主给女配跑腿，女主被女配的跟班们嘲讽，女主意识到自己重生了，直接砸了渣男一酒瓶子
素材3：女主离开，众人以为女主是畏罪潜逃，实际上女主找到男主，跟男主表白男主错愕，两人暧昧接吻，女主要男主来抢婚",通过,通过,通过,通过
